Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0048518~positive regulation of biological process	66	45.51724137931035	1.4778503160509561E-5	38646_S_AT, 35648_AT, 37968_AT, 35915_AT, 1355_G_AT, 1855_AT, 39469_S_AT, 37711_AT, 32073_AT, 1575_AT, 936_S_AT, 41280_R_AT, 1974_S_AT, 38236_AT, 34636_AT, 37454_AT, 35595_AT, 1403_S_AT, 32250_AT, 35069_AT, 1901_S_AT, 1645_AT, 37172_AT, 36766_AT, 1786_AT, 31512_AT, 37096_AT, 40271_AT, 34720_AT, 1890_AT, 40294_AT, 1983_AT, 1372_AT, 37105_AT, 33963_AT, 33684_AT, 32717_AT, 31525_S_AT, 35367_AT, 40186_AT, 38128_AT, 35373_AT, 1910_S_AT, 679_AT, 822_S_AT, 37983_AT, 34249_AT, 34618_AT, 606_AT, 39698_AT, 1391_S_AT, 39094_AT, 38945_AT, 38604_AT, 32680_AT, 32084_AT, 41489_AT, 1331_S_AT, 35169_AT, 36703_AT, 38482_AT, 1419_G_AT, 40317_AT, 31687_F_AT, 39198_S_AT, 2090_I_AT, 39187_AT	133	5285	16792	1.5767023993285008	0.046881188032794174	0.00598398814196488	0.026844130388881116
GOTERM_BP_ALL	GO:0060548~negative regulation of cell death	21	14.482758620689657	2.293661542896631E-5	33963_AT, 1974_S_AT, 33284_AT, 1403_S_AT, 41489_AT, 35367_AT, 35069_AT, 1355_G_AT, 38128_AT, 35373_AT, 37711_AT, 1910_S_AT, 1786_AT, 32073_AT, 33293_AT, 40271_AT, 34618_AT, 38482_AT, 40317_AT, 41280_R_AT, 1983_AT	133	897	16792	2.9558176377398344	0.07181287032935446	0.008246026587866107	0.04165986077179218
GOTERM_BP_ALL	GO:0009617~response to bacterium	16	11.03448275862069	2.462895712013412E-5	33963_AT, 32439_AT, 38604_AT, 31793_AT, 1403_S_AT, 33284_AT, 1331_S_AT, 37711_AT, 37061_AT, 34623_AT, 34546_AT, 31512_AT, 37096_AT, 679_AT, 1419_G_AT, 31506_S_AT, 37105_AT, 33979_AT	133	544	16792	3.713401149933657	0.07690254693261589	0.007970115562289659	0.04473301758575188
GOTERM_BP_ALL	GO:0001906~cell killing	8	5.517241379310345	2.8866071326743476E-5	33963_AT, 37096_AT, 679_AT, 31793_AT, 1419_G_AT, 37968_AT, 31506_S_AT, 37105_AT, 34623_AT, 34546_AT	133	112	16792	9.018259935553168	0.0895235266218608	0.008489866650239541	0.052426885646861265
GOTERM_BP_ALL	GO:0035821~modification of morphology or physiology of other organism	8	5.517241379310345	2.8866071326743476E-5	33963_AT, 37096_AT, 679_AT, 31793_AT, 1403_S_AT, 1419_G_AT, 31506_S_AT, 37105_AT, 34623_AT, 34546_AT	133	112	16792	9.018259935553168	0.0895235266218608	0.008489866650239541	0.052426885646861265
GOTERM_BP_ALL	GO:0048584~positive regulation of response to stimulus	34	23.448275862068964	3.1585618705457476E-5	33963_AT, 33684_AT, 32717_AT, 35915_AT, 37968_AT, 35367_AT, 40186_AT, 1355_G_AT, 35373_AT, 1910_S_AT, 37711_AT, 679_AT, 822_S_AT, 37983_AT, 34618_AT, 39698_AT, 41280_R_AT, 39094_AT, 1974_S_AT, 38604_AT, 32680_AT, 34636_AT, 37454_AT, 1403_S_AT, 32250_AT, 1331_S_AT, 1901_S_AT, 37172_AT, 1645_AT, 31512_AT, 37096_AT, 40271_AT, 36703_AT, 1890_AT, 37105_AT	133	2030	16792	2.11462646764695	0.09753312756552279	0.008515477493723944	0.057364819417193846
GOTERM_CC_ALL	GO:0005576~extracellular region	56	38.62068965517241	3.792094247952066E-5	38646_S_AT, 31621_S_AT, 33284_AT, 35915_AT, 1855_AT, 39908_AT, 35090_G_AT, 35956_S_AT, 36234_AT, 1575_AT, 33979_AT, 40350_AT, 37454_AT, 1403_S_AT, 33516_AT, 1112_G_AT, 32250_AT, 37905_R_AT, 37172_AT, 1645_AT, 36766_AT, 1786_AT, 34546_AT, 31512_AT, 37096_AT, 1890_AT, 37898_R_AT, 34703_F_AT, 1372_AT, 37105_AT, 36436_AT, 33963_AT, 33530_AT, 33684_AT, 31525_S_AT, 35367_AT, 37061_AT, 679_AT, 34012_AT, 34618_AT, 35091_AT, 1391_S_AT, 31506_S_AT, 38604_AT, 32680_AT, 31793_AT, 38691_S_AT, 32084_AT, 1331_S_AT, 35169_AT, 36378_AT, 34623_AT, 36703_AT, 36328_AT, 32413_AT, 31687_F_AT, 38508_S_AT, 2090_I_AT, 37166_AT	134	4623	18224	1.6474150984209388	0.013072617818280508	0.0043766665374177505	0.05178486758005141
GOTERM_CC_ALL	GO:0099503~secretory vesicle	14	9.655172413793103	3.800654327418797E-5	33963_AT, 38236_AT, 35595_AT, 31793_AT, 38691_S_AT, 33284_AT, 34623_AT, 34546_AT, 679_AT, 37096_AT, 33685_AT, 606_AT, 37898_R_AT, 32279_AT, 31506_S_AT, 37105_AT	134	467	18224	4.077087794432548	0.013101933669392163	0.003291700720606139	0.051901735969672735
GOTERM_BP_ALL	GO:0042742~defense response to bacterium	11	7.586206896551724	4.811175495038648E-5	33963_AT, 31512_AT, 37096_AT, 679_AT, 38604_AT, 31793_AT, 33284_AT, 1419_G_AT, 31506_S_AT, 37105_AT, 34623_AT, 33979_AT, 34546_AT	133	266	16792	5.221097857425518	0.14471356311632788	0.011952521370852676	0.08736668198241482
GOTERM_BP_ALL	GO:0040011~locomotion	28	19.310344827586206	4.943917876931633E-5	33963_AT, 33530_AT, 32717_AT, 35367_AT, 1355_G_AT, 35373_AT, 1910_S_AT, 37711_AT, 35090_G_AT, 37983_AT, 35091_AT, 31506_S_AT, 38236_AT, 37454_AT, 31793_AT, 1403_S_AT, 1112_G_AT, 1901_S_AT, 36766_AT, 1786_AT, 34972_S_AT, 37096_AT, 36479_AT, 40271_AT, 36703_AT, 38482_AT, 34720_AT, 919_AT, 1372_AT, 36436_AT	133	1530	16792	2.3105607155142756	0.14839447875707235	0.011408132548730299	0.08977614318679272
GOTERM_BP_ALL	GO:0009607~response to biotic stimulus	20	13.793103448275861	5.2054501625203154E-5	33963_AT, 1974_S_AT, 32439_AT, 38604_AT, 35595_AT, 31793_AT, 1403_S_AT, 33284_AT, 1331_S_AT, 37968_AT, 37711_AT, 1910_S_AT, 37061_AT, 34623_AT, 34546_AT, 31512_AT, 37096_AT, 679_AT, 1419_G_AT, 31506_S_AT, 37105_AT, 33979_AT	133	873	16792	2.892454503957488	0.15560043468491913	0.01121197057850909	0.09452316189068055
GOTERM_BP_ALL	GO:0042127~regulation of cell proliferation	28	19.310344827586206	6.320759162148817E-5	38646_S_AT, 34629_AT, 32717_AT, 35367_AT, 1355_G_AT, 1855_AT, 1910_S_AT, 37711_AT, 39469_S_AT, 37983_AT, 34618_AT, 39511_AT, 1974_S_AT, 33080_S_AT, 1403_S_AT, 1331_S_AT, 35069_AT, 1901_S_AT, 35439_AT, 1645_AT, 37172_AT, 37096_AT, 36479_AT, 38482_AT, 34720_AT, 1419_G_AT, 1983_AT, 39187_AT	133	1552	16792	2.277807921866522	0.18565238253293614	0.012753473547090333	0.11476451372556262
GOTERM_CC_ALL	GO:0030141~secretory granule	12	8.275862068965518	6.422834914681421E-5	33963_AT, 38691_S_AT, 31793_AT, 35595_AT, 33284_AT, 34623_AT, 34546_AT, 679_AT, 37096_AT, 33685_AT, 606_AT, 37898_R_AT, 31506_S_AT, 37105_AT	134	358	18224	4.558659217877095	0.022041411529294397	0.0044476702729546735	0.08769567900164255
GOTERM_BP_ALL	GO:0043066~negative regulation of apoptotic process	19	13.10344827586207	7.260247713435414E-5	33963_AT, 1974_S_AT, 1403_S_AT, 33284_AT, 41489_AT, 35367_AT, 35069_AT, 1355_G_AT, 38128_AT, 35373_AT, 37711_AT, 1910_S_AT, 1786_AT, 33293_AT, 34618_AT, 38482_AT, 40317_AT, 41280_R_AT, 1983_AT	133	818	16792	2.9325881942018857	0.21013561400783975	0.013780288756584769	0.13181195480218566
GOTERM_BP_ALL	GO:0043069~negative regulation of programmed cell death	19	13.10344827586207	8.605978523334728E-5	33963_AT, 1974_S_AT, 1403_S_AT, 33284_AT, 41489_AT, 35367_AT, 35069_AT, 1355_G_AT, 38128_AT, 35373_AT, 37711_AT, 1910_S_AT, 1786_AT, 33293_AT, 34618_AT, 38482_AT, 40317_AT, 41280_R_AT, 1983_AT	133	829	16792	2.893675684990522	0.2439292136336254	0.015414422346976098	0.15622605428259329
GOTERM_BP_ALL	GO:0008283~cell proliferation	31	21.379310344827587	9.307553380020338E-5	38646_S_AT, 33684_AT, 34629_AT, 31621_S_AT, 32717_AT, 35367_AT, 1355_G_AT, 1855_AT, 1910_S_AT, 39469_S_AT, 37711_AT, 34618_AT, 1575_AT, 39511_AT, 1974_S_AT, 38604_AT, 33080_S_AT, 1403_S_AT, 35069_AT, 1901_S_AT, 35439_AT, 37172_AT, 1645_AT, 37096_AT, 36479_AT, 38482_AT, 38816_AT, 34720_AT, 38201_AT, 39187_AT, 1983_AT	133	1861	16792	2.10312993660939	0.26096979297132106	0.01579065642021804	0.16895171107995655
GOTERM_BP_ALL	GO:0065007~biological regulation	111	76.55172413793103	1.0133986378694208E-4	38646_S_AT, 31621_S_AT, 38103_AT, 37968_AT, 39469_S_AT, 33293_AT, 35090_G_AT, 40058_S_AT, 40350_AT, 1974_S_AT, 35595_AT, 1112_G_AT, 37905_R_AT, 1901_S_AT, 37172_AT, 36766_AT, 34546_AT, 34720_AT, 41113_AT, 1890_AT, 37898_R_AT, 40790_AT, 33963_AT, 32717_AT, 37408_AT, 36317_AT, 37983_AT, 34249_AT, 606_AT, 37953_S_AT, 38604_AT, 32680_AT, 32084_AT, 41489_AT, 1331_S_AT, 36378_AT, 40089_AT, 33371_S_AT, 33027_AT, 38482_AT, 1419_G_AT, 31687_F_AT, 40317_AT, 32279_AT, 37954_AT, 40959_AT, 34629_AT, 35648_AT, 33284_AT, 35915_AT, 1355_G_AT, 1855_AT, 37711_AT, 39908_AT, 32073_AT, 33685_AT, 36234_AT, 1575_AT, 936_S_AT, 39511_AT, 41280_R_AT, 33922_AT, 38236_AT, 34636_AT, 37454_AT, 32418_AT, 33516_AT, 1403_S_AT, 32250_AT, 35069_AT, 1645_AT, 1786_AT, 31512_AT, 37096_AT, 40271_AT, 34606_S_AT, 919_AT, 40294_AT, 1372_AT, 1983_AT, 37105_AT, 34436_AT, 35038_AT, 33684_AT, 32148_AT, 31525_S_AT, 34467_G_AT, 35367_AT, 40186_AT, 38128_AT, 35373_AT, 1910_S_AT, 679_AT, 822_S_AT, 35091_AT, 34618_AT, 38948_AT, 1391_S_AT, 39698_AT, 31506_S_AT, 39094_AT, 38945_AT, 33080_S_AT, 31793_AT, 35169_AT, 35439_AT, 34623_AT, 36479_AT, 36703_AT, 32413_AT, 39198_S_AT, 2090_I_AT, 39187_AT, 37166_AT	133	11548	16792	1.213576025272742	0.28055118999540596	0.0163287124333632	0.18394016632620191
GOTERM_BP_ALL	GO:0019730~antimicrobial humoral response	6	4.137931034482759	1.0743208518074047E-4	33963_AT, 38604_AT, 31793_AT, 31506_S_AT, 34623_AT, 33979_AT, 34546_AT	133	60	16792	12.625563909774435	0.294653138834839	0.016484785198047636	0.19498785382024986
GOTERM_BP_ALL	GO:0006952~defense response	27	18.620689655172416	1.1462644656303622E-4	33963_AT, 33284_AT, 37968_AT, 35367_AT, 37711_AT, 1910_S_AT, 679_AT, 37983_AT, 31506_S_AT, 39094_AT, 33979_AT, 38604_AT, 34636_AT, 35595_AT, 31793_AT, 37454_AT, 1403_S_AT, 1112_G_AT, 32250_AT, 1331_S_AT, 34623_AT, 34546_AT, 31512_AT, 37096_AT, 36703_AT, 37898_R_AT, 1419_G_AT, 1372_AT, 37105_AT	133	1518	16792	2.2456536598413024	0.31095084720027	0.016786718447578064	0.20803268368514427
GOTERM_BP_ALL	GO:0006959~humoral immune response	10	6.896551724137931	1.5147914864920145E-4	33963_AT, 31512_AT, 38604_AT, 31793_AT, 32250_AT, 31506_S_AT, 37711_AT, 1910_S_AT, 34623_AT, 33979_AT, 34546_AT	133	248	16792	5.090953189425175	0.3887156438507018	0.021172348206417113	0.27482881340595844
GOTERM_MF_ALL	GO:0005102~receptor binding	25	17.24137931034483	1.8435589388700048E-4	38646_S_AT, 33684_AT, 35915_AT, 37968_AT, 35373_AT, 1855_AT, 35090_G_AT, 37983_AT, 35091_AT, 34618_AT, 936_S_AT, 40350_AT, 1974_S_AT, 38604_AT, 37454_AT, 1403_S_AT, 35169_AT, 1901_S_AT, 1645_AT, 31512_AT, 36703_AT, 38816_AT, 1890_AT, 1419_G_AT, 919_AT, 2090_I_AT	127	1462	16881	2.272935359824208	0.10224505741963497	0.10224505741963497	0.2709933583072255
GOTERM_BP_ALL	GO:0001934~positive regulation of protein phosphorylation	19	13.10344827586207	2.087669944733332E-4	33963_AT, 1974_S_AT, 32680_AT, 32717_AT, 34636_AT, 37454_AT, 1403_S_AT, 1331_S_AT, 35915_AT, 40186_AT, 1355_G_AT, 1901_S_AT, 37711_AT, 1645_AT, 1910_S_AT, 37096_AT, 36703_AT, 1890_AT, 1983_AT	133	890	16792	2.6953451043338683	0.4925488234578552	0.02786907039786468	0.37858009823604766
GOTERM_BP_ALL	GO:0042981~regulation of apoptotic process	25	17.24137931034483	2.169231016380283E-4	33963_AT, 1974_S_AT, 38236_AT, 32717_AT, 33284_AT, 1403_S_AT, 41489_AT, 1331_S_AT, 35915_AT, 35069_AT, 35367_AT, 1355_G_AT, 38128_AT, 35373_AT, 1910_S_AT, 37711_AT, 1786_AT, 33293_AT, 822_S_AT, 38482_AT, 34618_AT, 1890_AT, 40317_AT, 41280_R_AT, 1983_AT	133	1400	16792	2.2545649838882924	0.505822053047019	0.027800631964134404	0.3933429376863806
GOTERM_BP_ALL	GO:0051704~multi-organism process	35	24.137931034482758	2.2212835594816597E-4	33963_AT, 32717_AT, 33284_AT, 35373_AT, 1910_S_AT, 37061_AT, 37711_AT, 32073_AT, 679_AT, 33685_AT, 35956_S_AT, 36234_AT, 34618_AT, 31506_S_AT, 39094_AT, 33979_AT, 1974_S_AT, 32439_AT, 38604_AT, 35595_AT, 31793_AT, 1403_S_AT, 32084_AT, 1112_G_AT, 1331_S_AT, 35169_AT, 34623_AT, 1786_AT, 34546_AT, 31512_AT, 37096_AT, 40271_AT, 32413_AT, 34606_S_AT, 1419_G_AT, 1372_AT, 37105_AT	133	2341	16792	1.8876323658355627	0.5141110576180844	0.027378800399114556	0.4027635494838755
GOTERM_BP_ALL	GO:0043067~regulation of programmed cell death	25	17.24137931034483	2.4905528513511526E-4	33963_AT, 1974_S_AT, 38236_AT, 32717_AT, 33284_AT, 1403_S_AT, 41489_AT, 1331_S_AT, 35915_AT, 35069_AT, 35367_AT, 1355_G_AT, 38128_AT, 35373_AT, 1910_S_AT, 37711_AT, 1786_AT, 33293_AT, 822_S_AT, 38482_AT, 34618_AT, 1890_AT, 40317_AT, 41280_R_AT, 1983_AT	133	1413	16792	2.233822347801563	0.5548221454389117	0.029528638005167585	0.45148320190819824
GOTERM_BP_ALL	GO:0051707~response to other organism	18	12.413793103448276	2.7018569004054406E-4	33963_AT, 32439_AT, 38604_AT, 35595_AT, 31793_AT, 1403_S_AT, 33284_AT, 1331_S_AT, 37711_AT, 1910_S_AT, 37061_AT, 34623_AT, 34546_AT, 31512_AT, 37096_AT, 679_AT, 1419_G_AT, 31506_S_AT, 37105_AT, 33979_AT	133	829	16792	2.741376964727863	0.5843667080878459	0.030868942150333645	0.489699268406929
GOTERM_BP_ALL	GO:0043207~response to external biotic stimulus	18	12.413793103448276	2.7018569004054406E-4	33963_AT, 32439_AT, 38604_AT, 35595_AT, 31793_AT, 1403_S_AT, 33284_AT, 1331_S_AT, 37711_AT, 1910_S_AT, 37061_AT, 34623_AT, 34546_AT, 31512_AT, 37096_AT, 679_AT, 1419_G_AT, 31506_S_AT, 37105_AT, 33979_AT	133	829	16792	2.741376964727863	0.5843667080878459	0.030868942150333645	0.489699268406929
GOTERM_CC_ALL	GO:0042582~azurophil granule	4	2.7586206896551726	2.861891265766887E-4	33963_AT, 31793_AT, 33284_AT, 31506_S_AT, 34546_AT	134	18	18224	30.222222222222218	0.09454874931976609	0.016417381398554642	0.3902065585301484
GOTERM_CC_ALL	GO:0005766~primary lysosome	4	2.7586206896551726	2.861891265766887E-4	33963_AT, 31793_AT, 33284_AT, 31506_S_AT, 34546_AT	134	18	18224	30.222222222222218	0.09454874931976609	0.016417381398554642	0.3902065585301484
GOTERM_BP_ALL	GO:0048583~regulation of response to stimulus	47	32.41379310344827	3.2623964681599907E-4	40959_AT, 35915_AT, 37968_AT, 1355_G_AT, 1855_AT, 37711_AT, 33293_AT, 35090_G_AT, 41280_R_AT, 1974_S_AT, 37454_AT, 34636_AT, 1403_S_AT, 32250_AT, 1901_S_AT, 1645_AT, 37172_AT, 37096_AT, 31512_AT, 40271_AT, 1890_AT, 919_AT, 1372_AT, 37105_AT, 33963_AT, 33684_AT, 32148_AT, 32717_AT, 35367_AT, 40186_AT, 35373_AT, 1910_S_AT, 679_AT, 822_S_AT, 37983_AT, 34249_AT, 34618_AT, 35091_AT, 39698_AT, 39094_AT, 38604_AT, 33080_S_AT, 32680_AT, 41489_AT, 1331_S_AT, 36703_AT, 1419_G_AT, 40317_AT, 39187_AT	133	3636	16792	1.632017337072053	0.6535876842592441	0.03589594895497428	0.5910102804040251
GOTERM_BP_ALL	GO:0042327~positive regulation of phosphorylation	19	13.10344827586207	3.650899283326916E-4	33963_AT, 1974_S_AT, 32680_AT, 32717_AT, 34636_AT, 37454_AT, 1403_S_AT, 1331_S_AT, 35915_AT, 40186_AT, 1355_G_AT, 1901_S_AT, 37711_AT, 1645_AT, 1910_S_AT, 37096_AT, 36703_AT, 1890_AT, 1983_AT	133	932	16792	2.5738810545677495	0.6946796606329719	0.038774704309679	0.6611704539086771
GOTERM_BP_ALL	GO:0006955~immune response	26	17.93103448275862	4.028802468824396E-4	33963_AT, 33530_AT, 37968_AT, 35367_AT, 35373_AT, 1910_S_AT, 37711_AT, 37061_AT, 679_AT, 31506_S_AT, 33979_AT, 38604_AT, 34636_AT, 35595_AT, 31793_AT, 37454_AT, 1403_S_AT, 1112_G_AT, 32250_AT, 1331_S_AT, 37905_R_AT, 34623_AT, 34546_AT, 31512_AT, 37096_AT, 36703_AT, 1419_G_AT, 37105_AT	133	1551	16792	2.116471061599841	0.7299698527155443	0.04135356891921771	0.7293715321014527
GOTERM_BP_ALL	GO:0042493~response to drug	12	8.275862068965518	4.0353566171237614E-4	1974_S_AT, 38236_AT, 32084_AT, 967_G_AT, 37172_AT, 1910_S_AT, 37711_AT, 1575_AT, 1419_G_AT, 919_AT, 32279_AT, 34436_AT, 966_AT	133	411	16792	3.68629603205093	0.7305444861188051	0.04015143245600783	0.7305539842492714
GOTERM_BP_ALL	GO:0023056~positive regulation of signaling	26	17.93103448275862	4.5207640957092767E-4	33684_AT, 32717_AT, 35915_AT, 1355_G_AT, 40186_AT, 35373_AT, 1910_S_AT, 37711_AT, 822_S_AT, 34618_AT, 41280_R_AT, 936_S_AT, 39094_AT, 1974_S_AT, 32680_AT, 38236_AT, 37454_AT, 34636_AT, 1403_S_AT, 1331_S_AT, 1901_S_AT, 1645_AT, 37096_AT, 40271_AT, 36703_AT, 1890_AT	133	1563	16792	2.1002217636221068	0.7698740149317922	0.04354261215471256	0.8180907147506744
GOTERM_CC_ALL	GO:0044459~plasma membrane part	35	24.137931034482758	5.150144424699081E-4	33530_AT, 32148_AT, 32717_AT, 37408_AT, 37968_AT, 34467_G_AT, 35367_AT, 1355_G_AT, 33293_AT, 37983_AT, 40058_S_AT, 35121_AT, 37953_S_AT, 1391_S_AT, 1575_AT, 936_S_AT, 32439_AT, 40350_AT, 38236_AT, 32680_AT, 34636_AT, 32084_AT, 1112_G_AT, 1331_S_AT, 36378_AT, 1901_S_AT, 1645_AT, 1786_AT, 31512_AT, 38482_AT, 37097_AT, 40317_AT, 919_AT, 32279_AT, 34436_AT	134	2635	18224	1.8064516129032258	0.1636901047289092	0.02521327749944724	0.701184299275992
GOTERM_MF_ALL	GO:0019825~oxygen binding	5	3.4482758620689653	5.225354306723666E-4	38229_AT, 33516_AT, 1391_S_AT, 31687_F_AT, 31525_S_AT	127	50	16881	13.29212598425197	0.2634389245712381	0.1417686352569245	0.7663207019009688
